"complexity_bucket","triage_priority","n_obs","n_imaging_obs","needs_imaging_prob","xr_prob","ct_prob","mri_prob","us_prob"
"minimal","2","11","0","0.0000",,,,
"minimal","3","66","0","0.0000",,,,
"minimal","4","28","0","0.0000",,,,
"minimal","5","5","0","0.0000",,,,
"minimal","UNKNOWN","3","0","0.0000",,,,
"straightforward","2","80","0","0.0000",,,,
"straightforward","3","695","0","0.0000",,,,
"straightforward","4","679","0","0.0000",,,,
"straightforward","5","104","0","0.0000",,,,
"low","1","1","0","0.0000",,,,
"low","2","856","0","0.0000",,,,
"low","3","5215","0","0.0000",,,,
"low","4","3051","0","0.0000",,,,
"low","5","280","0","0.0000",,,,
"low","UNKNOWN","11","0","0.0000",,,,
"moderate","1","5","0","0.0000",,,,
"moderate","2","2204","0","0.0000",,,,
"moderate","3","9540","0","0.0000",,,,
"moderate","4","2882","0","0.0000",,,,
"moderate","5","84","0","0.0000",,,,
"moderate","UNKNOWN","21","0","0.0000",,,,
"high","1","126","0","0.0000",,,,
"high","2","12161","0","0.0000",,,,
"high","3","15636","0","0.0000",,,,
"high","4","1515","0","0.0000",,,,
"high","5","33","0","0.0000",,,,
"high","UNKNOWN","183","0","0.0000",,,,
"critical_care","1","420","0","0.0000",,,,
"critical_care","2","2731","0","0.0000",,,,
"critical_care","3","1802","0","0.0000",,,,
"critical_care","4","55","0","0.0000",,,,
"critical_care","5","2","0","0.0000",,,,
"critical_care","UNKNOWN","39","0","0.0000",,,,
"UNKNOWN","1","57","0","0.0000",,,,
"UNKNOWN","2","1790","0","0.0000",,,,
"UNKNOWN","3","3552","0","0.0000",,,,
"UNKNOWN","4","904","0","0.0000",,,,
"UNKNOWN","5","94","0","0.0000",,,,
"UNKNOWN","UNKNOWN","610","0","0.0000",,,,
